번호,이름,시간분류,형식/소재/세대,비주얼태그,전체라벨
1,Rickroll,#고전 #스테디,#유행어,#빨간머리 #베이지코트 #춤 #뮤직비디오 #낚시링크,#고전 #스테디 #유행어 #빨간머리 #베이지코트 #춤 #뮤직비디오 #낚시링크
2,Doge,#고전 #스테디,#동물,#시바견 #노란털 #곁눈질 #둥근얼굴,#고전 #스테디 #동물 #시바견 #노란털 #곁눈질 #둥근얼굴
3,Distracted Boyfriend,#고전 #스테디,#반응짤,#빨간원피스 #파란셔츠 #뒤돌아보기 #커플 #길거리 #휘파람,#고전 #스테디 #반응짤 #빨간원피스 #파란셔츠 #뒤돌아보기 #커플 #길거리 #휘파람
4,Drake Hotline Bling,#고전 #스테디,#포맷,#주황패딩 #노란배경 #손사래 #고개돌리기 #거부 #승인,#고전 #스테디 #포맷 #주황패딩 #노란배경 #손사래 #고개돌리기 #거부 #승인
5,Surprised Pikachu,#고전 #스테디,#반응짤,#피카츄 #노란색 #입벌림 #놀람,#고전 #스테디 #반응짤 #피카츄 #노란색 #입벌림 #놀람
6,Woman Yelling at a Cat,#고전 #스테디,#반응짤,#식탁 #샐러드 #흰고양이 #소리치는금발 #손가락질,#고전 #스테디 #반응짤 #식탁 #샐러드 #흰고양이 #소리치는금발 #손가락질
7,Expanding Brain,#고전 #스테디,#포맷,#빛나는뇌 #4단계 #우주 #엑스레이,#고전 #스테디 #포맷 #빛나는뇌 #4단계 #우주 #엑스레이
8,Mocking SpongeBob,#고전 #스테디,#조롱,#스폰지밥 #닭자세 #노란색 #대소문자번갈이,#고전 #스테디 #조롱 #스폰지밥 #닭자세 #노란색 #대소문자번갈이
9,Change My Mind,#고전 #스테디,#포맷,#야외테이블 #현수막 #커피 #캠퍼스 #반박해봐,#고전 #스테디 #포맷 #야외테이블 #현수막 #커피 #캠퍼스 #반박해봐
10,Stonks,#고전 #스테디,#반응짤,#3D얼굴 #정장 #상승그래프 #주식 #오타,#고전 #스테디 #반응짤 #3D얼굴 #정장 #상승그래프 #주식 #오타
11,Always Has Been,#고전 #스테디,#포맷,#우주비행사 #지구 #총 #뒤통수 #우주,#고전 #스테디 #포맷 #우주비행사 #지구 #총 #뒤통수 #우주
12,Evil Kermit,#고전 #스테디,#포맷,#개구리 #검은후드망토 #쌍둥이 #속삭임 #시스로드,#고전 #스테디 #포맷 #개구리 #검은후드망토 #쌍둥이 #속삭임 #시스로드
13,GigaChad,#고전 #스테디,#반응짤,#흑백사진 #턱선 #수염 #근육 #조각몸매,#고전 #스테디 #반응짤 #흑백사진 #턱선 #수염 #근육 #조각몸매
14,Wojak,#고전 #스테디,#감정,#대머리그림 #슬픈눈 #MS페인트 #그기분알아,#고전 #스테디 #감정 #대머리그림 #슬픈눈 #MS페인트 #그기분알아
15,NPC Wojak,#고전 #스테디,#조롱,#회색얼굴 #무표정 #뾰족코 #로봇같음,#고전 #스테디 #조롱 #회색얼굴 #무표정 #뾰족코 #로봇같음
16,Coffin Dance,#고전 #스테디,#영상,#관운반 #검은정장 #선글라스 #춤 #장례식,#고전 #스테디 #영상 #관운반 #검은정장 #선글라스 #춤 #장례식
17,Among Us,#고전 #스테디,#게임,#우주인 #크루원 #임포스터 #빨간캐릭터 #의심,#고전 #스테디 #게임 #우주인 #크루원 #임포스터 #빨간캐릭터 #의심
18,This Is Fine,#고전 #스테디,#반응짤,#불타는방 #강아지 #커피잔 #모자 #괜찮아,#고전 #스테디 #반응짤 #불타는방 #강아지 #커피잔 #모자 #괜찮아
19,Grumpy Cat,#고전 #스테디,#동물,#찌푸린얼굴 #흰갈색고양이 #파란눈 #심술,#고전 #스테디 #동물 #찌푸린얼굴 #흰갈색고양이 #파란눈 #심술
